ID,RMSE_full,RMSE_full_stim,ampl,ampl_1,ampl_1_init,ampl_init,base,base_init,base_sigm,base_sigm_init,chisqr,decay,decay_f,decay_f_init,decay_ff,decay_ff_init,decay_init,decay_s,decay_s_init,delay_1,delay_1_init,delay_2,delay_2_init,delay_3,delay_3_init,i_0,i_0_init,i_1,i_1_init,i_2,i_2_init,i_3,i_3_init,k,k_init,power,power_init,q,q_init,r_1,r_1_init,redchi,s_start,s_start_init,tau_0,tau_0_init,tau_1,tau_1_init,tau_2,tau_2_init,tau_3,tau_3_init,threshold,threshold_init,w_0,w_0_init,w_1,w_10,w_10_init,w_11,w_11_init,w_12,w_12_init,w_13,w_13_init,w_14,w_14_init,w_15,w_15_init,w_16,w_16_init,w_17,w_17_init,w_18,w_18_init,w_1_init,w_2,w_2_init,w_3,w_3_init,w_4,w_4_init,w_5,w_5_init,w_6,w_6_init,w_7,w_7_init,w_8,w_8_init,w_9,w_9_init
61476.0,0.1371288584557138,0.1160697693039674,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4350.912191648515,3.32409,1.59849,0.83425,3.61117,2.15272,3.32409,0.27769,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.30536,0.26581,0.07148,0.01448,0.21861,0.11203,0.49962,0.51341,0.00707,0.01322,2.0,2.0,1.0,1.0,1.71394,1.71394,9.437987400539075,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.09083,0.05,2.10449,1.06584,0.26655,0.55886,0.85408,0.33798,0.98739,0.04648,0.60316,0.01286,0.11454,0.8182,1.46102,1.09529,0.81334,0.01018,0.53206,0.11479,0.12843,0.71938,0.62664,1.02738,1.38725,0.65471,1.03573,1.27136,2.265,2.23852,2.13759,2.42242,1.63326,1.68723,2.06773,1.54245,1.42709,0.96144
62113.0,0.1117466219169585,0.1032331989016041,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3345.4821613501827,3.32409,0.28815,0.83425,1.87096,2.15272,3.32409,0.23809,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.27335,0.26581,0.10765,0.01448,0.17504,0.11203,0.47927,0.51341,0.01329,0.02622,2.0,2.0,1.0,1.0,1.71394,1.71394,7.257011195987381,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.09909,0.12177,1.62082,0.59701,0.27603,1.04203,1.18026,0.35315,0.82724,0.08656,0.7066,0.0254,0.13602,0.68991,0.76155,0.70704,0.87189,0.31744,0.14546,0.2218,0.43594,1.35515,0.00062,0.02369,1.13624,0.724,0.34412,0.70705,1.3802,1.27642,0.8533,0.5526,1.22356,0.46716,1.79074,1.71185,0.27575,0.32345
57895.0,0.1077885430519545,0.0950484188088126,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4382.965055530136,3.32409,0.48863,0.83425,2.68904,2.15272,3.32409,0.26528,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25375,0.26581,0.00264,0.01448,0.26285,0.11203,0.52578,0.51341,0.07704,0.08931,2.0,2.0,1.0,1.0,1.71394,1.71394,9.507516389436304,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.40954,0.16339,1.00929,0.65668,1.13903,0.71353,1.18283,0.24433,0.42306,0.03301,0.41562,0.00768,0.05331,0.74499,1.15402,1.41697,1.15541,0.61034,0.97134,0.15736,0.23789,1.30128,0.64931,1.01727,1.95549,0.63152,0.52591,0.53172,0.9905,0.77694,0.66044,0.76601,2.31272,2.24686,2.26797,0.25533,0.46114,0.70837
59953.0,0.1118795256179943,0.0948194225316337,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4048.990675089846,3.32409,0.68387,0.83425,2.66521,2.15272,3.32409,0.24047,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.31275,0.26581,0.03027,0.01448,0.28974,0.11203,0.51462,0.51341,0.03874,0.04766,2.0,2.0,1.0,1.0,1.71394,1.71394,8.783060032732854,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.0826,0.14728,1.80666,1.41218,1.40269,0.03838,0.5553,0.25961,1.04751,0.12635,0.22944,0.01497,0.08797,0.77615,0.45473,2.27752,2.28312,0.29191,0.29925,0.06465,0.57563,1.3711,0.26644,0.88836,2.14944,1.32621,1.02741,1.31411,2.41824,2.39652,0.86551,0.54018,1.39479,1.00975,1.87568,1.85795,0.92573,0.76261
67129.0,0.1200888880774202,0.1065030784372902,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4391.228019813638,3.32409,0.38364,0.83425,2.25139,2.15272,3.32409,0.26619,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.28615,0.26581,0.01827,0.01448,0.21728,0.11203,0.51131,0.51341,0.0199,0.03836,2.0,2.0,1.0,1.0,1.71394,1.71394,9.525440390051276,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.13653,0.09417,2.1544,0.7603,0.72967,0.51878,1.07724,0.16517,0.41168,0.39519,0.79787,0.53384,0.95356,0.09059,0.49576,2.01503,2.01739,0.01967,0.2588,1.07148,0.6645,2.30565,0.00602,0.09506,2.08431,0.31676,0.93812,0.56667,0.36943,0.16601,0.98763,0.25689,2.11587,2.10235,1.70247,0.84605,0.00138,0.08521
82815.0,0.106984830796133,0.0916540107854848,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3530.5997118476307,3.32409,0.73298,0.83425,3.63626,2.15272,3.32409,0.22112,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.29922,0.26581,0.09848,0.01448,0.24111,0.11203,0.49603,0.51341,0.00871,0.02864,2.0,2.0,1.0,1.0,1.71394,1.71394,7.658567704658635,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.24304,0.21926,2.1265,0.74554,1.01136,0.59802,0.71638,0.209,0.74914,0.00865,0.60212,0.00436,0.28964,0.72041,1.10234,2.28079,2.30541,2.19035,2.17227,0.22689,0.64236,2.17619,0.41994,0.64889,2.06835,1.14425,1.42515,1.42072,1.48433,0.41324,1.53508,1.5289,1.02407,1.50375,2.10307,2.10689,1.85756,0.98644
72426.0,0.1067640633157612,0.0846019460022297,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3949.907738569063,3.32409,0.89014,0.83425,2.55881,2.15272,3.32409,0.27366,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26792,0.26581,0.11913,0.01448,0.18765,0.11203,0.50075,0.51341,0.00795,0.02531,2.0,2.0,1.0,1.0,1.71394,1.71394,8.56812958474851,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.27363,0.17967,1.28102,0.76203,0.99723,0.54276,0.74174,0.15568,0.68705,0.17123,0.82262,0.03975,0.37655,0.85639,1.30111,1.86716,1.8429,1.97594,1.96435,0.00139,0.06201,1.22058,1.12694,0.95449,2.14502,2.12132,0.79544,0.84241,1.68427,0.63266,0.31965,0.03893,1.85293,1.72327,2.28804,2.29806,1.21765,0.74552
74561.0,0.1249057902264803,0.1118019381327776,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4361.157374232015,3.32409,1.07537,0.83425,1.98833,2.15272,3.32409,0.18277,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25464,0.26581,0.06626,0.01448,0.24274,0.11203,0.47553,0.51341,0.00594,0.01497,2.0,2.0,1.0,1.0,1.71394,1.71394,9.46021122393062,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.07807,0.12478,1.87229,1.11316,0.87869,0.05657,0.72242,0.07536,0.31836,1.04672,1.25228,0.46846,0.11284,0.62452,0.37747,1.43521,1.5378,1.05438,0.77496,0.03446,0.21966,1.81778,0.82057,1.04428,1.82236,1.23807,0.81987,1.45065,1.82643,1.75998,1.80453,1.81646,1.53758,1.23132,2.13281,2.17254,1.52258,1.41303
85776.0,0.1217104008804898,0.1089446692852854,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4590.167232355711,3.32409,0.36334,0.83425,2.35987,2.15272,3.32409,0.20749,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.27442,0.26581,0.00411,0.01448,0.18886,0.11203,0.47712,0.51341,0.01519,0.01389,2.0,2.0,1.0,1.0,1.71394,1.71394,9.956978812051435,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.1497,0.1444,1.20193,0.75351,0.72807,0.75789,0.15487,0.26812,0.06489,0.41725,0.77143,0.19678,0.32715,0.59181,1.24971,0.92673,0.68347,2.21141,2.21592,0.23133,1.10104,0.46631,0.49546,0.20667,1.77773,1.76765,0.06461,0.10851,1.82808,1.81959,0.61841,1.08678,1.5536,1.59543,3.76108,0.17192,0.37706,0.31123
75158.0,0.1130631673322204,0.0970041027440567,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4345.814973809702,3.32409,0.53353,0.83425,3.82176,2.15272,3.32409,0.2871,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26318,0.26581,0.02761,0.01448,0.19688,0.11203,0.51645,0.51341,0.06051,0.06262,2.0,2.0,1.0,1.0,1.71394,1.71394,9.42693052887137,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.27084,0.26461,1.17795,0.91529,0.72604,0.50969,1.17311,0.22803,0.78124,0.02634,0.41359,0.07456,0.15716,0.72229,0.26854,2.00235,2.00388,0.3598,0.40516,0.27723,0.06429,0.35009,0.25488,0.452,1.7604,1.6103,0.84806,1.30298,1.4202,1.12599,0.49656,0.71206,1.82477,1.75398,1.61716,1.35685,0.58617,0.99395
77837.0,0.1155388427807238,0.0943257301246363,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4548.247437669232,3.32409,0.52011,0.83425,3.43963,2.15272,3.32409,0.2334,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.27634,0.26581,0.01717,0.01448,0.11218,0.11203,0.4669,0.51341,0.05009,0.05686,2.0,2.0,1.0,1.0,1.71394,1.71394,9.866046502536294,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.06799,0.05,1.63188,1.46351,1.46814,0.01246,0.04332,0.18201,0.71651,0.02266,1.18973,0.05001,0.22988,0.72809,0.31047,2.49663,2.33312,0.58798,0.59856,0.29579,1.1411,1.68543,0.17571,0.95853,2.44881,0.53128,0.84633,0.66271,1.93775,1.78425,0.83062,0.07898,1.68949,0.38255,2.32512,2.43342,0.71346,1.12003
89389.0,0.1111895972812823,0.099006484669698,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4185.826121967862,3.32409,0.59486,0.83425,2.14717,2.15272,3.32409,0.16832,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.26073,0.26581,0.01913,0.01448,0.21253,0.11203,0.49932,0.51341,0.03965,0.04697,2.0,2.0,1.0,1.0,1.71394,1.71394,9.079883127912932,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.30489,0.05,1.2323,0.82218,0.74392,0.18929,0.65732,0.00082,0.16989,0.48161,0.75869,0.50692,0.90659,0.45865,0.30738,1.57531,1.44775,0.80227,0.52038,0.67874,0.33269,1.3806,0.3379,0.63644,1.5681,1.30206,0.76411,0.54168,0.53999,0.29216,0.68329,0.68011,1.00379,1.22902,0.87576,0.86877,0.61483,0.96196
91823.0,0.1254404806174684,0.1082842940619258,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4363.974980698652,3.32409,0.5399,0.83425,2.69102,2.15272,3.32409,0.1548,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.27506,0.26581,3e-05,0.01448,0.20517,0.11203,0.48731,0.51341,0.01115,0.01885,2.0,2.0,1.0,1.0,1.71394,1.71394,9.466323168543711,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.22686,0.19422,1.96967,0.85909,0.34224,0.46025,0.01118,0.15088,0.29837,0.49952,0.72162,0.55399,0.81666,0.24657,0.79733,2.11162,2.15671,0.30803,0.4059,0.95106,1.34116,1.96734,0.11025,0.39129,1.79508,1.73715,1.08192,1.19952,1.48163,1.42107,0.73246,1.08466,1.03722,0.68418,1.00069,0.71255,0.62877,0.06602
92132.0,0.1090317468776784,0.0835654771559867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4119.117732098705,3.32409,1.10866,0.83425,2.39363,2.15272,3.32409,0.24476,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.27778,0.26581,0.11598,0.01448,0.12635,0.11203,0.50438,0.51341,0.01888,0.03608,2.0,2.0,1.0,1.0,1.71394,1.71394,8.935179462253156,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.06444,0.05,1.11908,0.96579,0.79502,0.72594,0.59548,0.33184,0.9353,0.13009,0.75702,0.00416,0.10769,0.82868,1.13954,2.18235,2.18767,2.00862,2.00931,0.01034,0.00186,1.19762,0.94792,1.45399,2.3581,0.80647,0.47084,1.01623,1.02187,0.22541,0.32893,0.56551,1.81177,1.85113,2.66047,0.18659,0.38504,0.03696
101297.0,0.1249518824024167,0.105844983547984,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4593.164199778077,3.32409,0.61418,0.83425,3.95064,2.15272,3.32409,0.24122,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.3249,0.26581,0.00348,0.01448,0.22157,0.11203,0.5451,0.51341,0.00517,0.01665,2.0,2.0,1.0,1.0,1.71394,1.71394,9.963479825982814,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.19619,0.14899,2.34595,1.03711,1.49979,0.00853,0.45491,0.01108,0.22081,0.94731,0.54199,0.71655,1.16719,0.3592,1.14601,2.41005,2.29913,1.40972,1.5511,0.58919,0.93821,2.41779,0.66792,0.47426,1.92872,1.95111,1.85522,1.52554,1.79709,1.84234,1.87873,1.80778,2.11933,2.38616,2.04958,1.62248,2.28279,0.65705
101387.0,0.1372738960421951,0.1268863399114969,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4531.064393346302,3.32409,0.32143,0.83425,2.07653,2.15272,3.32409,0.23971,0.26855,0.16504,0.16504,1.73305,1.73305,0.36953,0.36953,0.25545,0.26581,0.00225,0.01448,0.18422,0.11203,0.47858,0.51341,0.02702,0.04379,2.0,2.0,1.0,1.0,1.71394,1.71394,9.828773087519092,0.18359,0.18359,0.015,0.015,0.0075,0.0075,0.019,0.019,0.019,0.019,0.0,0.0,0.23565,0.27909,2.14914,0.84761,0.65666,0.36665,0.29601,0.09411,0.078,0.62181,1.01304,0.4571,0.13375,0.42281,0.1702,0.97817,0.24868,0.39596,0.91077,0.53512,0.63418,2.13116,0.16229,0.40029,1.28087,0.98747,1.10885,1.00517,2.22489,2.17675,2.06811,2.06114,1.83346,1.85939,1.86393,1.5292,2.15164,0.40466
